abacus   n．算盘
abandon   v．n．放弃，放纵
abase   v．贬抑，使卑下
abate   v．减轻，降低
abbreviation   n．缩短，缩写
abdicate   v．让位，辞职，放弃
abdomen   n．腹，下腹（胸部到腿部的部份）
abduct   v．绑架，拐走
aberrant   adj．越轨的，异常的
abet   v．教唆，协助（罪犯）
abeyance   n．中止，暂搁
abhor   v．憎恨，嫌恶
abhorrent   adj．可恨的，可厌的
abide   v．容忍，忍受
abject   adj．极可怜的，卑屈的
abjure   v．誓绝，弃绝
ablution   n．（宗教的）净礼，沐浴
abnegation   n．克己，自制
abnormal   adj．不正常的，变态的
abode   n．住处，住所
abolition   n．废除，革除
abominate   v．痛恨，痛恶
abominable   adj．可厌的，天气极坏的
aboriginal   n．原始居民，土著
abortive   adj．无结果的，失败的
abound   v．充满，富于
abrade   v．磨损，擦伤
abrasion   n．表面磨损
abridge   v．删减，缩短
abridgment   n．删节，节本
abrogate   v．废止，废除
abscond   潜逃，逃亡
absolution   n．赦免，免除
abstain   v．自动戒绝，抑制
abstemious   adj．有节制的，节俭的
abstract   n．摘要
abstracted   adj．心不在焉的
abstruse   adj．难懂的，深奥的
absurd   adj．荒谬的，可笑的
absurdity   n．荒谬
abundance   n．充裕，多量
abuse   v．n．辱骂，滥用
abut   v．接界，毗连
abysmal   adj．极深的，糟透的
abyss   n．深渊，深坑
accelerate   v．加速，催促
accede   v．应允，同意
accentuate   v．着重，强调
access   n．通路，途径
accessible   adj．易达到的，易受影响的
accidental   adj．意外的，偶然的
acclaim   v．欢呼，称赞
acclamation   n．欢呼
acclivity   n．向上的陡坡
accolade   n．推崇备至，赞扬
accommodating   adj．乐于助人的
accomplice   n．同谋者，帮凶
accord   v．同意，给予
accoutrements   n．（军服，武器之外的）装备，配备（
accretion   n．自然的增加，增加物
accrue   v．（利息等）增大，增多
accumulate   v．积聚，积累
acerbity   n．苦涩，刻薄
acidulous   adj．有酸味的，刻薄的
acme   n．顶点，极点
acolyte   n．（教士的）助手，侍僧
acorn   n．橡实，橡子
acoustic   adj．听觉的，有关声音的
acoustics   n．声学
acquaintance   n．熟知，熟人
acquiesce   v．勉强同意，默认
acquiescent   adj．默认的，顺从的
acquired   adj．后天习得的
acquisitive   adj．贪得的，物欲重的
acquittal   n．宣告无罪，开释
acrimony   n．尖刻，刻薄
acrimonious   adj．尖刻的
acrobat   n．特技演员，杂技演员
acronym   n．首字母简略词，简称
activate   v．使活泼，加速反应
acumen   n．敏锐，明智
acute   adj．灵敏的，（病）急性的
adage   n．格言，古训
adamant   adj．强硬的，固执的
adaptable   adj．有适应能力的，能运用的
addiction   n．沈溺，上瘾
addictive   adj．（毒品等）使人上瘾的
addle   v．使腐坏，使昏乱
addled   adj．头脑混乱的
adduce   v．给予（理由），举出（
adept   adj．老练的，精通的
adhere   v．粘着
adherent   n．拥护者，党徒
adjacent   adj．接近的，毗连的
adjudicate   v．充当裁判，判决
adjure   v．郑重敦促（恳请）
adjutant   n．（军队的）副官，助手
admonish   v．训诫，警告
admonitory   adj．警告的
adobe   n．泥砖，土坯
adopt   v．收养，采纳
adore   v．崇拜，热爱
adoration   n．爱慕，崇拜
adorable   adj．迷人的，可爱的
adorn   v．装饰
adornment   n．装饰，装饰品
adroit   adj．熟练的，灵巧的
adulate   v．谄媚，奉承
adulterate   v．掺假
adumbrate   v．（对将来事件）预示
advent   n．到来，来临
adversary   n对手，敌手
adversity   n．不幸，灾难
advisable   adj．适当的，可行的
advisory   adj．劝告的
aeon   n．千万年，永久
aerate   v．充气，让空气进入
aeronautics   n．航空学
aesthetics   n．美学
aesthete   n．审美家
affable   adj．易于交谈的，和蔼的
affectation   n．做作，虚假
affected   adj．不自然的，假装的
affection   n．亲爱，友爱
affectionate   adj．挚爱的
affidavit   n．宣誓书
affiliate   v．加入，联合
affiliation   n．入会，加入
affinity   n．密切关系，吸引力
affirmative   adj．赞成的，肯定的
affliction   n．痛苦，折磨
affront   v．侮辱，冒犯
aftermath   n．不幸事件之后果，余波
agenda   n．议程
agglomerate   v．凝聚，结块
aggrandize   v．增大，扩张
aggravate   v．加重，恶化
aggregate   v．集合，合计
aggregation   n．聚集，总合
aggressive   adj．好斗的，进取的ag（一再）＋gress（走）＋ive→一再走→进取的
aggrieved   adj．（因受伤害而）愤愤不平的，痛心的
aghast   adj．惊骇的，吓呆的
agitated   adj．被鼓动的，不安的
agitation   n．鼓动，焦虑
agnostic   adj．不可知论的
agog   adj．兴奋的，有强烈兴趣的
agony   n．极大痛苦
agreement   n．一致，协议
agronomist   n．农学家
ailment   n．（不严重的）疾病
airborne   adj．空气传播的，（部队）空降的
airtight   adj．密封的
alabaster   adj．雪白的
alchemy   n．炼金术
alcove   n．凹室，壁龛
alias   n．化名，别名
alienated   adj．疏远的，被隔开的
alkali   n．碱
allegation   n．（无证据的）指控
allegiance   n．忠诚，拥护
allergy   n．过敏症，厌恶
allergic   adj．过敏的，对…讨厌的
alleviate   v．缓和，减轻
alley   n．小巷，小径
allocation   n．拨给，分配
allopathy   n．（医）对抗疗法
alloy   n．合金，v．混合
allude   v．间接提到，暗指
